('Stockfish 17.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64.exe', '1', '2024-03-30T17:18:38Z', 'C++')
('Caissa 1.12 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3686', 'saved_engines\\Caissa 1.12 64-bit 8CPU\\Caissa_1.12\\caissa-1.12-avx2-bmi2.exe', '23', '2023-09-02T21:34:17Z', 'C++')
('Viridithas 11.0.0 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3682', 'saved_engines\\Viridithas 11.0.0 64-bit 8CPU\\viridithas-11.0.0-x86_64-win-v1.exe', '25', '2023-09-24T19:36:01Z', 'Rust')
('Berserk 8 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3674', 'saved_engines\\Berserk 8 64-bit 8CPU\\berserk-8-x64-avx2-pext.exe', '25', '2021-12-05T18:19:35Z', 'C')
('Altair 7.0.0 64-bit 8CPU', 'https://github.com/Alex2262/AltairChessEngine', 'Alexander Tian', '3670', 'saved_engines\\Altair 7.0.0 64-bit 8CPU\\Altair-windows-x86-64-v1.exe', '26', '2024-02-17T03:34:31Z', 'C++')
('RubiChess 20220813 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3668', 'saved_engines\\RubiChess 20220813 64-bit 8CPU\\RubiChess-20220813_x86-64-avx2.exe', '26', '2022-08-13T18:50:05Z', 'C')
('Stormphrax 4.1.0 64-bit 8CPU', 'https://github.com/Ciekce/Stormphrax', 'Conor Anstey (U.K.)', '3668', 'saved_engines\\Stormphrax 4.1.0 64-bit 8CPU\\stormphrax-4.1.0-avx2-bmi2.exe', '26', '2024-03-11T10:42:42Z', 'C++')
('Igel 3.4.0 64-bit 8CPU', 'https://github.com/vshcherbyna/igel', 'Volodymyr Shcherbyna (Ukraine)', '3667', 'saved_engines\\Igel 3.4.0 64-bit 8CPU\\igel-x64_bmi2_avx2_3_4_0.exe', '26', '2023-01-30T20:37:57Z', 'C++')
('Velvet 8.1.1 64-bit', 'https://github.com/mhonert/velvet-chess', 'Martin Honert (Germany)', '3662', 'saved_engines\\Velvet 8.1.1 64-bit\\velvet-v8.1.0-x86_64-avx2.exe', '26', '2024-10-28T17:45:27Z', 'Rust')
('Black Marlin 9.0 64-bit 8CPU', 'https://github.com/dsekercioglu/blackmarlin', 'Doruk SEKERCIOGLU (Turkey)', '3659', 'saved_engines\\Black Marlin 9.0 64-bit 8CPU\\blackmarlin-windows-x86-64-v2.exe', '27', '2024-02-28T23:16:32Z', 'Rust')
('Seer 2.6.0 64-bit 8CPU', 'https://github.com/connormcmonigle/seer-nnue', 'Connor McMonigle (USA)', '3658', 'saved_engines\\Seer 2.6.0 64-bit 8CPU\\seer_v2.6_x64_avx2_popcnt.exe', '27', '2022-10-22T05:35:57Z', 'C++')
('Stormphrax 4.0.0 64-bit 8CPU', 'https://github.com/Ciekce/Stormphrax', 'Conor Anstey (U.K.)', '3655', 'saved_engines\\Stormphrax 4.0.0 64-bit 8CPU\\stormphrax-4.0.0-avx2-bmi2.exe', '27', '2023-12-17T04:37:11Z', 'C++')
('RubiChess 20220223 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3653', 'saved_engines\\RubiChess 20220223 64-bit 8CPU\\RubiChess-20220223_x86-64-avx2.exe', '27', '2022-02-23T17:39:40Z', 'C')
('akimbo 1.0.0 64-bit 8CPU', 'https://github.com/JacquesRW/Kimbo', 'Jamie Whiting (England)', '3649', 'saved_engines\\akimbo 1.0.0 64-bit 8CPU\\kimbo.exe', '28', '2022-11-21T16:00:26Z', 'Rust')
('Koivisto 7.0 64-bit 8CPU', 'https://github.com/Luecx/Koivisto', 'Kim Kahre (Finland) , Finn Eggers (Germany)', '3647', 'saved_engines\\Koivisto 7.0 64-bit 8CPU\\Koivisto_7.0-x64-windows-avx2.exe', '28', '2021-10-31T16:29:49Z', 'C++')
('Peacekeeper 2.40 64-bit 8CPU', 'https://github.com/Sazgr/peacekeeper', 'Kyle Zhang', '3635', 'saved_engines\\Peacekeeper 2.40 64-bit 8CPU\\peacekeeper-240-avx2.exe', '28', '2024-04-10T16:25:23Z', 'C')
